Feas,Orig,ReprDescr
3,4,Machine that does not use liquid detergent. Instead it uses a cleaning process similar to dry cleaning. Water is not necessary and it keeps clothes fresh for up to two or three wears.
5,1,Increase motor speed to reduce water needed to clean clothes??
3,4,Have waterless washing machine that uses recoverable chemicals.
5,1,Different sizes of the machines to appeal to different users.
5,1,Make the machine have less vibration so it is quieter.
5,1,Remove the exterior paint.
4,4,The machine orders the detergent automatically once there is nothing in stock.
4,1,Use shock absorption technology for minimization of noise and vibration to allow faster spin cycles.
4,1,"Have smaller washing machine. This will reduce water requirements and energy consumption. It may also make users think about how much they are washing, because they have less space."
1,5,"Design a mechanism to suck out the dirt, similar to magnetic or hydrophobic separation."
4,3,Electricity can be generated when the cylinder is spinning.
4,2,Use the soap that doesn't make the water unusable.
3,3,Use the waste fibers from the clothes by filtering them from the water and utilizing it to make rugs and carpets .
4,5,Exercise machine can be integrated to help dry clothes.
3,2,Have a way of verifying that bleach is not going to stain the next load.
4,3,Determine the amount of water required based on the load weight and volume and save water.
3,2,Create chassis and weld together prior to painting to increase structural integrity.
3,4,Make drum size adjustable to accommodate the load size variability.
1,1,Forget about the washing machine. Have people reuse clothes until they fall off to conserve energy.
5,3,The washer connected to internet is able to provide live washing updates to smartphones. e.g.. notify users when the wash cycle ends.
5,1,Use natural based paint for body panels or use unpainted finish that uses less material and is cleaner.
2,3,"Utilize ""regenerative braking"" to capture energy lost when drum slows down between stages of wash."
5,3,"Give the user information about the characteristics of their load (mass, dirtiness, etc.) and then also tell them how much water/detergent/energy they will be using, and the eqCO2. This empowers the user to make lifestyle changes to decrease their total impact."
5,1,"Have side structural panels manufctured with recycled plastic, keepeing different colors and patterns which make the product attractive to young people."
5,1,Design motor to run off solar power.
5,3,A washing machine allowing to select dry-washing for not too much dirty clothes or wet-washing for heavily dirty clothes.
3,3,Have an outdoor washing machine that runs while it is raining and uses the rainwater to spin the clothes using the basic waterwheel concept.
4,1,Soak and press clothing to reduce the amount of mechanical motion.
5,3,Provide a digital read out of water used by machine per use/week/month/to make users more conscious of water consumption.
4,2,"Have cycles with optimal temperatures for mixed loads, to prevent washing many separate loads."
5,2,Have the hinge of the door be at the bottom of the door so the door opens to the top for easy loading.
5,1,The current counterweight used in the front end of the drum is steel. This material should be replaced with a heavy recycled material that can no longer be used as it intended to thus reducing the associated footprint of the washer.
5,3,Delay the start time for the wash.
5,2,The machine can rotate at where the door hinge is around where the drum opens to better fit the desired space.
3,2,Use a different floor/wall mounting technique so that the machine can be lighter without increasing operating noise.
4,4,"The shell is made out of glass so that users can look into the washer to see it operating from any direction, to improve aesthetics."
2,1,Produce with aluminum or other light and easy to recycle material.
5,1,Eliminate extra outer casing of machine.
4,1,Have a washing machine that is capable of washing smaller loads of laundry.
3,2,Further reduce the gap between inner diameter of plastic outer drum and outer diameter of stainless steel drum to reduce the amount of water use.
3,1,"develop more advanced washing mechanism, could be something like wash cloth one by one as we human do. This may be more efficient"
5,1,Have different designs to appeal different user groups. Do design research to determine the look of these and which possible designs these different user groups like.
0,1,Create fun advertisements so people are aware of the washing machines.
5,3,The washing machine with angled door (i.e.: 45 deg) with respect to the ground so that loading and unloading does not have to be done by squatting or leaning over.
3,3,Maybe find another common appliance in the house like dish washer to combine their actuation system to make the whole system more energy efficient.
5,3,Have some password or lock protection to omit kids using the machine.
3,2,Decrease the rotation speed of the machine so clothing will last longer and need to be replaced less often.
3,1,Shorten the time for washing and drying.
3,3,Add a device inside the washing machine that is moved around and helps know of dirt and debris on the clothes
4,1,Reuse materials from used machines to manufacture new ones.
3,1,Design drum that uses less soap.
3,3,"Determine optimal ""cleanness"" of clothes to maximize spinning power ratio."
3,5,Recognize when a hard object has been put in by accident.
3,4,Add bumps and ridges to inside of drum so clothes don't become a giant unbalanced wad.
4,3,"Make more options for the users so that they can fine-control the washing cycles. For example, the amount of water, more options for the temperature of water (not just hot,warm,cold). This will allow users to wash more delicate clothes and leave less damage."
5,2,The washing machine automatically turns off after 5 minutes of inactivity.
3,2,Collect water from rinsing at end and reuse it to soak clothes in the next load.
5,1,Make the washing machine quiet and emphasize how quiet it is in marketing.
3,1,Make the inner tub out of plastic or something more sustainable than a petroleum product.
3,2,The material used in the structure of the washing machine can be bio-compatible to have an optimized end-of life.
5,1,"Having a cool video, to market it, would help with user appeal. Like that Apple 'like video explaining all of the attention to detail that was put into the design, would make people like me want it. And probably a lot of the people that buy Apple stuff. The other videos about saving water in the news real style voice, could appeal more to a less-techy person. So you could have different marketing videos to market to different user groups increasing appeal and sales."
5,1,Use less overall material in the machine.
3,1,Make the washing machine a shape that allows the water to flow better.
4,2,Have a washing machine that automatically applies stain remover to clothes with stains.
3,3,Separate chamber to deal with different clothes type and different color of clothes because some white clothes would get colored with washed with colored clothing and some needs delicate care whereas some needs strong cleaning.
5,1,Use minimum material so that washing machine is sleek and doesn't take too much space.
4,1,"The main structure of a washing machine is made out of metal: keep the main structure of a sturdy material, but for all of the outer non-structural materials, construct them out of recycled plastics."
3,2,"Design a washing machine that has filters that could sanitize and reuse water in the wash cycle all over again, reducing water usage."
5,1,Use solar energy to power washing machines.
4,1,Use a drive train with different gear ratios to allow for smallest motor.
3,3,Combine washer with other similar appliances at home to optimize the energy efficiency of both.
3,1,Have a new washer mechanism.
4,1,Use raw material that could be locally sourced to reduce production cost.
4,3,A web enabled washer which can learn washing patterns and preferences of the user to better customization.
3,1,Minimize the weight of machine.
4,3,Use machine learning to learn user preferences in washing process.
3,5,Have a washing machine powered by battery and charged by a treadmill.
4,1,Make the washing machine silent with internal noise damping and cancellation features.
4,2,"Have different washing modes based on different clothing types (shirt, pants, jeans etc.)."
3,4,Use a hybrid motor to use water flow as well as electric power.
5,1,The machine keeps statistics about how much water is used each year.
1,3,"Attach an efficient water heater (with high heat transfer metal coils in a water tank) to the machine, so that if the user has an old water heater at their place, it doesn't use as much energy to run the washing machine."
3,1,Use a different mechanism for drying clothes.
5,1,"The machine is able to have lots of settings without using touch screens, since touch screen takes up more electricity and battery power."
3,3,Use the same drum for washing and drying adapted with sensors to identify the dirt level.
5,1,Using larger machines may be more efficient if user puts more clothes into it.
5,5,A washing machine that includes a small battery that can be charged eventually from human activity. This could help reduce electrical consumption.
4,2,Replace the hinged front door with a telescopic sliding door. This will allow the machine to be installed in even smaller space and be more user friendly.
4,3,Incorporate touch screen interface that sends a reminder when the cycle is complete.
5,1,"Remove superfluous packaging, which only adds aesthetic value."
4,3,Use geothermal energy to directly preheat water going into the washing machine.
3,3,Using a high pressure jet of steam and soap particles to clean clothes to Eliminate the need for a motor.
3,4,Have an option to pair washer to phone location so that washer runs when you leave home to be less noisy or annoying.
5,3,Provide a demand response feature for the power grid. Demand response corresponds to drawing power from the power grid at specific time of the day to maintain a balance between supply and demand. Utilities compensate the appliances participating in the demand response program.
5,1,Have the washing machine ads educate the population on more efficient use of the machine. Maybe washing certain types of clothes or ones having certain stains makes for a more efficient use of the machine. Saved time could appeal to the customers
5,3,Allow a timer on washer to run at night when electricity demands are low.
3,3,Design dual function drying rack holding rack.
5,1,Provide more direct information about energy use and water use and cost when selecting washing modes.
3,4,Have multiple mini drums in one machine to speed up time required for a small household with small load levels.
3,3,"Machine measures detergent and provides a warning when overused, preventing soap from spilling out and clothes needing to be washed a second time"
5,5,"Design a human powered washing machine. It could be powered by a treadmill or some sort of exercise equipment, such as stationary bike."
3,1,Find more efficient spinning speed to decrease the water use and energy use.
3,2,"Use water from showers and baths for washing clothes, and then pass on water to water plants."
1,4,Steam from kitchen can be used for driving the machine if possible.
4,3,Automatically dispense soap for efficient displacement of soap.
3,4,Have users load from the top and then it transfers it to a sideways drum either through a pathway or just rotates the whole drum before starting.
3,2,Put two chambers in washing machine for white and colored clothes. Filter water and reuse for both chambers instead of running the machine twice.
2,4,Washing machine detects dirt and automatically stops or continues cycle depending on how much dirt is detected.
2,3,Use coupled systems to reduce waste energy between modules.
2,4,Use computer vision to focus more on the dirty spots could reduce the work needed.
3,1,Make the production wise and efficient (i.e.. low carbon footprint to build).
3,2,Create a new type of detergent that requires less water and is more efficient in cleaning.
4,4,Two door systems. The clothes are put in through the top of machine and rotates to the side when the washing is done. Easier to load the machine and eliminates the danger of kids getting into the machine.
4,1,incentivize trade-ins of old washers for newer ones
3,4,"3D print some parts. It might reduce the original cost, but increase the maintenance cost."
5,1,Use cold water only for the washing machine.
4,1,Use local parts suppliers to reduce the emissions in parts transportation
4,1,Move manufacturing to a more sustainable facility.
3,1,Use automatically attachable or detachable flywheel for spin stage.
3,1,Using optimal control methods to identify new strategies for the washing cycle.
5,1,Have a rewards program for users so that they really feel great about being more sustainable.
3,2,Reuse washer water for watering plants.
3,2,Use non-toxic and biodegradable material to remove stains.
3,2,Water consumption can be reduced by finding a way to clean the soapy water and reuse it.
3,2,Save rinse from previous load to wash next load in.
2,4,"Use live organisms to clean clothes, like cleaning dirty water."
5,1,Have very good gaskets so that there are no leaks anywhere.
2,4,Biological enzymes automatically clean clothes and reduce overall energy consumption. Because of the enzymes the washer doesn't need to rotate reducing manufacturing cost.
3,2,"Snap on fasteners instead of screws for outer panel where leaking is not an issue will reduce the assembly costs, but may increase manufacturing costs."
3,3,Design the machine as a multipart system to dismantle and assemble again for the purpose of efficient distribution.
3,3,Implement a folding manufacturing process to reduce panel assembly time.
3,3,"Have agitators that can be present during ""washing"" phase at a lower spin-speed, but. can be absent during rinsing."
5,2,Use a detergent ball that contains detergent and outputs the detergent amount accordingly to the soil level or amount of cloths. Detergent ball will constantly hit cloths while washing so that it will reduce time and energy to wash clothes.
3,3,Use the rotation of the washing machine for energy harvesting (small scale) to generate power to power up small electronics like cell phones.
3,3,"For more efficient assembly, a self-assembling origami structure could be used as the outer section and inner retaining brackets. This structure could be stamped out of a single piece of metal, with compliant joints at the hinges/edges of the box."
2,3,"The data gathered by the washing machine can be gathered and analyzed across neighborhoods and cities to analyze the water usage in the washing machine as a function of the region, time and water availability."
2,5,Only allows washing of matched socks.
3,3,Harvest energy and reuse machine on vehicle wheels.
3,3,"Translate energy lost to pistons to generator power source (lights in the house, etc.)."
4,1,Minimize the number of components on the surface of the machine.
3,4,Design a washing machine where you could put a basket of different items to be washed and the machine will separates them into different loads that maximize power consumption and usage.
3,3,"Top-loading dryers are more convenient but front-load are more efficient. Have a washer that can be loaded from the top, drum ""rotates along major axis 90deg, and then begins wash cycle."
3,3,"As opposed to dedicated shock absorbers inside the washing machine, the structure itself could be designed to absorb the vibrational load and provide damping. This could involve, for example, compliant mechanisms on certain parts of the structure whose natural frequency was tuned to match the drum vibrational frequency at different drum speeds, and which would then dampen the vibrations. Multiple different sets of mechanisms could be used to dampen different frequencies."
3,2,Use gray water washing machine that only allows certain types of environmentally friendly detergents.
1,1,"It could use your home's Wi-Fi instead of it's own cellular connection, so that it saves user money and energy."
4,3,Thermal energy will be dissipated by spinning the stator motors. That energy can be stored and reused.
5,2,"Have a cool interactive outside to appeal to kids, so that they can lobby their parents to buy one. Could use some cool mechatronics, interactive artwork on the exterior to make it a piece of art that can appeal to kids."
3,3,Design energy recover systems at the vibration dampers for alternative use.
3,3,"Let the washer fill part way with water and mix with the soap before users put clothes in. It might appeal to customers to have the detergent pre-mixed with the water, or to spray in from multiple locations at once instead of all getting sprayed on just one clothing item."
3,3,"Use Siri like features to be able to talk to the machine and let it ""know"" the kind of clothes its dealing with."
3,2,Separate the drum into compartments such that the loads can be more evenly distributed along the perimeter. This could help reduce vibration which makes it more appealing to the customers. Reduced vibration can also improve energy efficiency of the motor.
3,2,Make the exterior of the washing machine more stylized in the form of environmental qualities to make the user more aware (even subconsciously) of the environment during use.
4,1,Locate manufacturing facilities in various locations to reduce transportation cost.
5,5,A human powered washing machine may be useful. Leg powered using a bicycle kind of pedaling mechanism can be used to rotate the drum inside which the clothes are washed. This reduces energy consumption in the form of electricity.
5,2,"Compute a ""green score"" for each wash cycle based on water, energy and detergent used and give users a green score target. Maybe give some incentive if a particular target is hit."
3,4,Phone charger built into machine for community use
3,3,Add a module that keeps the detergent for a longer time and sends an alarm when there is no more stocked.
3,1,Find a better water and detergent distribution in the machine to help with washing efficiency.
4,2,"Have one item wash mode for very fast, and low energy washing."
3,3,Have a speed mode: mode that washes your clothes extra fast when you are in a hurry.
3,4,A machine which can fold the clothes after drying and ensures clothes do not need to be pressed again.
4,1,Use material recycled from used product to decrease cost of raw material.
3,3,Make the machine out of strong injection molded plastic to reduce the cost of making them in high volume.
5,1,Have workers assembled all parts instead of robots and workers.
5,1,"Market products on water saving feature, appealing to consumers who have knowledge of the need for water conservation. Target locations such as California which are undergoing droughts."
2,3,The machine uses heat from HVAC systems to heat water/air for washing and drying.
3,1,Use 3d printers to manufacture washing machine parts.
3,1,Change design of the spinner so that it spins and dries clothes faster.
4,1,Connect washing machine to provides information on sustainable practices and what resources to use.
3,5,Have a talking washing machine.
5,1,Water is heated by gas vs. electricity (gas is cheaper in some states) so it appeals to customers who live there.
5,1,Combine spin drying and hot drying.
3,1,Use vacuum to kill the bacteria.
3,3,During the rinse cycles recirculate the water from the bottom of the drum to the top and spray it into the drum. This will help rinse out the clothes while reusing water and decreasing the spin cycle time.
3,4,The laundry basket senses how dirty clothes are and separates them so that some loads only wash relatively clean clothes and don't have to use as much detergent.
4,2,Incorporate a drying aspect to the machine to hybridize its function.
4,3,"Couple the washing machine directly to renewable energy sources, and sell the two together as a package. This could include wind, solar, or geothermal."
5,1,"The machine would be a front loading machine capable of spinning at higher speeds than conventional machines, thereby producing less water content in the fabrics after the wash cycle. Due to low water content in the clothes, the dryer function in the machine would not have to be as powerful or use as much energy as conventional dryers."
4,1,Definitely make the washing machine a front loading device with a wide door that has a large range of opening.
3,3,The washing machine's rotational movement could be used to charge a battery and save energy.
4,1,Use a complete automatic system with no human intervention to save time during manufacturing.
5,1,Have a washing machine with integrated counter top so it can be used for other things.
5,1,"Have an intuitive user interface, like simple control panels that could make the product more sustainable."
4,4,Install a scale and camera on the inside of the washer. The scale will be used to measure the weight of the items inside the washer and will determine the amount of water needed to clean the load. The camera will use image analysis techniques to determine the types of items in the load and automatically set the best water temperature and spin speed.
4,2,"Before adding water, a shake out mode is use to shake out most dirt."
5,1,Remove paint from external parts to reduce amount of material cost.
4,1,Design a light and portable washer that can be taken on the go to wash clothes whenever needed.
5,1,"Even though the drum may look rustic, its appeal can be improved by using different colors and materials, especially easy weight."
3,1,Use fewer fasteners to speed up manufacturing time and reduce weight.
1,5,Create a mix of detergent with the some kind of pellet particle to provide a deep clean with less amount of detergent.
4,1,Manufacture machines differently to make it last longer.
5,1,Use easily manufactured body with sophisticated outer shell to give appearance of very high quality.
3,2,"Machine stores soap water from a wash and reuses it for the next wash, which will reduce water and soap usage."
5,1,Provide visual feedback to the user regarding the overall energy consumption from the washing machine.
3,3,Harvest thermal energy in the washer to save energy and use it to heat water for other household appliances.
3,1,Design a machine that requires less water.
5,1,Allow people to customize the water level in the washing machine during wash cycles.
4,3,The machine will automatically determine the cycle time to save energy.
3,4,Use some decomposable absorbent that can be thrown into laundry load to help absorb dirt and oils but does not consume that much water.
3,3,Have a laundry basket attached to washer that automatically loads and starts washer when it gets full.
4,3,Build in sensors to enable washer running when electricity is at its cheapest price to reduce cost.
3,3,The pistons below the drum are designed to dissipate vibrations that occur due to unevenly distributed weights. These should be replaced by springs which are connected to some type of generator so that some of the dissipated energy is then recaptured.
4,3,"Use some fuzzy logic controller that adjusts the water temperature, water volume, and detergent volume to get the best wash cycle to save on water and detergent."
3,4,Have a washing machine that does not need to be connected to the main water line in the house so it can be used at home without a hookup.
3,4,Use wasted water to cool motor to increase efficiency.
3,1,"Looking at the washing process and optimizing it to potentially reduce the time spent doing the job, which would reduce energy and water consumption."
3,2,Route used water to your sprinkler system so it waters your yard.
2,5,Use chemical based washing instead of water based washing.
3,4,"Have a way to collect the steam and condense it, filter it for later use. Save on water."
3,4,"Use two wash drum, concentric from each other, with smaller drum at the center and bigger one on the outside."
2,3,Have washing machines that can use shower water and human soaps to wash clothes.
4,1,Make the amount of water that is used by each setting visible.
2,3,Reduce vibration of the machine and if not possible then use pressure sensitive (piezoelectric) materials to convert the vibration into energy.
3,1,Use steam for cleaning when clothes are not super dirty. This can reduce water use and decrease use of chemicals.
3,5,Movies or other media can be projected on to the door so that kids can be entertained when parents are doing laundry.
3,3,Design a smart washer that knows the type of material and optimizes the washing cycle accordingly to conserve resource.
3,3,Machine with a chute or feeding tray for loading and a basket for unloading. Drop the clothes in the chute and the clean clothes are put in a basket.
3,1,Make the washing faster so that users save time and energy by not having it run as long.
5,5,"Have a hybrid washing machine. Part electricity part solar, or wind or human powered etc."
3,5,"Can detect a solid mass tumbling around throwing off the stabilizers, such as a phone, and set off a warning or stop the washing process."
3,1,Spray water equally in mist phase for soaking laundry faster and using less water.
3,1,"The machine is resistant to different types of detergent, especially those more corrosive."
2,4,Automatically detect when clothes are clean enough and stop cycle.
3,2,Introduce environmentally friendly detergent so that the waste water can be further recycled.
4,1,Use easily manufactured parts and pieces that are easy to put together on the assembly line.
3,1,"Use additive manufacturing to make more parts at once using robots, and require less labor from human factory workers."
5,3,Have fabric cover instead of painted and stamped steel cover for washing machine side panels.
