novelty,description
1,"The machine definitely has to be smart, meaning it should learn from the user's habits and adjust. Also, it should be actively adjusting its washing cycle in order to attain maximum performance overall. For example, it could constantly monitor water content (being rougher or softer) and adjust it's washing cycle accordingly."
1,We can generate electricity from the refrigerator conceptually as a thermodynamically cycle. So we can use it as a power source in washing machine.
1,Wash the cloths somehow that they are not needed to be ironed.
0,Design for fully robotic manufacture and disassembly for improved lifecycle.
1,Use water pressure from the tap to assist tumbling motor.
0,Have a spot cleaning station so that you can use less water in the minimum load.
0,Use bio-materials with less weight to reduce the weight.
0,Limit the amount of different types of material used.
1,Have a washing machine with a sorting feature to recognize and separate clothing with different wash cycle settings.
0,Baked on paint sounds like it would take extra energy usage to do the baking. Replacing it with simply spray-on paint would save on manufacturing costs.
1,Have the machine run off of reusable energy.
1,"Provide a label indicating a full load, encouraging users to avoid washing small loads and wasting water."
1,Amount of required detergent is indicated by a line based on the load amount.
0,"Change classic ""spin cycle"" style to see if there is a better agitation method."
0,Have neighbors share washers and use internet alert system or schedule so people known when it is free to use.
1,Machine measures weight of clothes loaded and adjusts the amount of water and detergent use accordingly.
1,Have a ventilation system to prevent mold from forming inside washer when door is closed between loads.
1,Use smart temperature setting based on the level of dirt and loading.
0,Make parts easily replaceable so that repair is low-cost and only some parts need to be renewed every few years as opposed to the whole machine.
0,Use organic biodegradable paints could be used to reduce the environmental impact.
0,Use better wash preset for more efficient wash.
0,Make the washing machine smart.
0,Re-purpose old washers.
0,Sense water cleanliness to determine if it can be reused.
1,Make a mini washing machine that attaches to your bike with a cylindrical frame that rolls like a wheel as you ride and tumbles the clothing.
0,Have a shake phase to remove most dirt.
0,Have real time water consumption feedback to the user as a subjective norm in order to motivate them to conserve water.
0,Route water through filter and reuse it.
1,"The washing machine could be repackaged, optimized such that the center of mass is closer to the middle than on the side. Actually if the motor is placed horizontally below the drum with the force transmitted via gears, we wouldn't need a concrete block or maybe even the shock absorbers (friction with the floor wouldn't let the machine to rotate). Machine with fewer components is definitely more sustainable, especially without the concrete block."
1,"Incorporate remote functionality, i.e. from a phone."
0,A hybrid system which adopts water and bead technologies to clean clothing.
0,Design with the current manufacturing capabilities of the factory in mind.
0,Paint machines with different organic colors so the machines appeal to users.
1,"Improve the efficiency of washing by creating new washing methods, such as using dry cleaning or using steamed water instead of liquid water."
0,Do research to find a perfect ration to mix detergent and water in order to increase the efficiency of detergent.
0,"Shorten the wash time or provide more options for wash settings, so users can have a very short wash per se if they only have a few items compared with the traditional ""small load"" which often still uses a fair amount of water."
0,Use sensors to stop the wash when the clothes are clean so that they do not wear out.
0,"Have a washing machine that incorporates a new kind of motion to remove dirt from clothes, like impulse jets of water rather than large quantities of water being poured into the spinning drum."
0,Have cars that can use the mechanical movement to wash clothes
0,Use smart tap.
0,Have unique user interface to make interaction with the washing machine simpler. Perhaps incorporate a children's single button setting so parents could help children begin to do laundry as a chore at a young age.
1,"Systems that wash clothes in fundamentally new ways, such as using UV light to kill bacteria, or different additives that reduce the need for water use."
0,Remove physical buttons and replace them with a touchscreen that only powers on when needed.
0,Make the washing delicate so the clothes will last longer.
0,"Reduce number of required inputs for user, and remove options to use hot water."
1,"Run the machine based on two power sources, an AC household supply and a battery based supply that is connected to an existing home exercise machine."
1,Do experiments with other types of fluids for washing clothes. Perhaps there is a fluid out there that can be reused many times unlike water where we get rid of it afterwards.
1,Design a portable machine with modular components which can be assembled easily.
1,Have drum that can slide out with clothes as if it was the hamper and directly dump into dryer.
0,Provide readable statistics on how much water and energy is used vs others.
0,Manufacture washing machines with recycled parts.
1,"Use algorithm for calculating when is the best time to wash, how much load to put in, to maximize the usage of water and energy."
0,Pre-mix soap and water to ensure dry detergent is not left on clothes if using power detergent and concentrated detergent is not in contact with clothes if using liquid detergent.
0,Use better bearings.
1,"Attract users by increasing automation in the washing machines. For example, combining washer and dryer into a single machine."
0,Combine washer and dryer to save space.
0,Add attachments such as protein shaker that can make use of the movement of the machine.
0,Use some centrifuge to filter some of the dirty water and cycle that back into the wash to reduce water use.
0,"Utilize water from other home appliances, or use waste water from washing for other uses. This could include using water from the washer to then wash dishes, or implementing a greywater system to water the lawn (after removal of excess soap/detergent)."
0,When designing the polymer beads that may ultimately replace water within the washing machine it will be extremely important to insure that the lifecycle analysis of these beads does in fact result in a net reduction in water use If not then the current methods are still more desirable.
0,Have larger door for better access to clothing.
1,Give text alert for completion of laundry load.
0,More drying functions to reduce the damage of the clothes.
0,The machine is front loaded to save water and be better for clothes.
0,"Front load is more efficient but harder on back, so look at new loading techniques that are more ergonomic."
0,"Add upgrades to old machines to make them more energy/water efficient, rather than starting from scratch."
1,Have a sensor inside of the washing machine that adjusts the power needed to spin the drum be dependent on the weight of the clothes that have been loaded into the machine.
1,Try different designs and shapes for designing the washing tub such that it is more efficient and user friendly.
0,Reuse water for a few loads of laundry before sending it into the sewer.
0,Use polymer beads as an alternative of detergent.
0,Provide attachments for a hand wash mode when only a few items need to be washed.
1,"If a rotating drum is used, such that it can be powered by legs, then bicycle parts can be used. This makes manufacturing easier and as it provides some exercise, it can be appealing to the users."
1,"Have a machine that is powered by biofuels, such as garden trimmings and stuff that the user likely already has access to."
0,The machine recommends different setting for how to wash loads.
0,Have a spherical washing machine that can be used in outdoor activities
0,Design curvature and colors that produce happiness. Make the machine look sleek and modern.
0,Use squeeze mechanism for removing water.
1,Use sensor to keep track of water and power consumption.
1,"Add inserts into the washer to aid in passive agitation, as opposed to shaking the entire load like current front-loaders do. This would require fluid dynamic analysis."
0,See if there is a better method of driving the drum compared to the stator-rotor motor design.
0,Maintenance team that regularly checks on machine to make machines last longer.
0,"Waste water from the other resources can be entered into the machine, purified and reused."
0,Develop new materials used for washing clothes which are more environment friendly.
1,Use rubber gasket sealed inlet channel so that dirty laundry can travel straight from the laundry chute into the washing machine.
1,Like a sea anemone of squishy little arms sticking out from the walls to help clean the clothes.
0,Make washing machines out of recycled metal.
0,Use minimalist design.
0,Perform a study on optimal washing techniques to observe if the current model is the most efficient method. This provides the potential for a complete redesign of the washing cycle.
0,"Non-electric machine that uses hand crank to induce spin cycle. Water usage is restricted by size of machine. Maybe users can have two separate water tanks that stores soapy water, rinse water, and clean water. These water tanks can be used for up to three or four loads so that it reduces water usage."
1,Automatically load washing machine.
1,Add energy harvesting tech to regain lost energy in the washing machine.
0,Futuristic curb appeal can be easily created with LED lighting instead of painting materials - saves material and very low energy impact
0,Reduce water usage by using the waste water from washing machine for garden cleaning.
0,"Have internal lights that change color during the wash cycle, located inside drum (ideally for front loading washer) so that the light projects out."
0,Use better actuating mechanism.
1,Have an insert that shrinks the size of the effective drum for a small load.
0,Have an adaptor for solar panel that can be placed outside.
0,Have a washing machine that restricts water flow to be minimal (only what is necessary to complete wash cycle). Use less detergent so that fabrics require less water usage for rinsing.
0,Use cold and warm cycles only to reduce energy usage
0,Build non-load carrying parts from recycled materials to reduce cost of the machine for customers.
0,Additional hybrid modes between the ones they already have could be marketable to people who don't have the time to sort their laundry.
1,"In the age of autonomous vehicle, the car cabin has been shown to be used for other purposes. The washing machine could be connected to the autonomous vehicle by coupling the rotation to the vehicle motor and the dryer to air intake while the car is travelling. This way drying consumes far less power."
0,Design a resevouir that holds all of the detergent in a normal size jug so users don't have to store it.
0,Have variable sizes of washer for different loads of laundry.
1,Use the water from tap as a water jet to drive a turbine which drives the drum and spins it.
0,Treat the water with some chemicals before sending into the drum to improve the efficiency of washing process.
0,Change the angle of washing machine to let it use less water while washing.
0,Use alternative methods to heat the water.
0,Have a pretreat/soak option for tough stains and then automatically start the cycle once some time has elapsed.
0,Develop more specific washing method for washing different material and stain.
1,Machine that does not use liquid detergent. Instead it uses a cleaning process similar to dry cleaning. Water is not necessary and it keeps clothes fresh for up to two or three wears.
0,Increase motor speed to reduce water needed to clean clothes??
1,Have waterless washing machine that uses recoverable chemicals.
0,Different sizes of the machines to appeal to different users.
0,Make the machine have less vibration so it is quieter.
0,Remove the exterior paint.
1,The machine orders the detergent automatically once there is nothing in stock.
0,Use shock absorption technology for minimization of noise and vibration to allow faster spin cycles.
0,"Have smaller washing machine. This will reduce water requirements and energy consumption. It may also make users think about how much they are washing, because they have less space."
1,"Design a mechanism to suck out the dirt, similar to magnetic or hydrophobic separation."
1,Electricity can be generated when the cylinder is spinning.
0,Use the soap that doesn't make the water unusable.
1,Use the waste fibers from the clothes by filtering them from the water and utilizing it to make rugs and carpets .
1,Exercise machine can be integrated to help dry clothes.
0,Have a way of verifying that bleach is not going to stain the next load.
1,Determine the amount of water required based on the load weight and volume and save water.
0,Create chassis and weld together prior to painting to increase structural integrity.
1,Make drum size adjustable to accommodate the load size variability.
0,Forget about the washing machine. Have people reuse clothes until they fall off to conserve energy.
1,The washer connected to internet is able to provide live washing updates to smartphones. e.g.. notify users when the wash cycle ends.
0,Use natural based paint for body panels or use unpainted finish that uses less material and is cleaner.
1,"Utilize ""regenerative braking"" to capture energy lost when drum slows down between stages of wash."
1,"Give the user information about the characteristics of their load (mass, dirtiness, etc.) and then also tell them how much water/detergent/energy they will be using, and the eqCO2. This empowers the user to make lifestyle changes to decrease their total impact."
0,"Have side structural panels manufctured with recycled plastic, keepeing different colors and patterns which make the product attractive to young people."
0,Design motor to run off solar power.
1,A washing machine allowing to select dry-washing for not too much dirty clothes or wet-washing for heavily dirty clothes.
1,Have an outdoor washing machine that runs while it is raining and uses the rainwater to spin the clothes using the basic waterwheel concept.
0,Soak and press clothing to reduce the amount of mechanical motion.
1,Provide a digital read out of water used by machine per use/week/month/to make users more conscious of water consumption.
0,"Have cycles with optimal temperatures for mixed loads, to prevent washing many separate loads."
0,Have the hinge of the door be at the bottom of the door so the door opens to the top for easy loading.
0,The current counterweight used in the front end of the drum is steel. This material should be replaced with a heavy recycled material that can no longer be used as it intended to thus reducing the associated footprint of the washer.
1,Delay the start time for the wash.
0,The machine can rotate at where the door hinge is around where the drum opens to better fit the desired space.
0,Use a different floor/wall mounting technique so that the machine can be lighter without increasing operating noise.
1,"The shell is made out of glass so that users can look into the washer to see it operating from any direction, to improve aesthetics."
0,Produce with aluminum or other light and easy to recycle material.
0,Eliminate extra outer casing of machine.
0,Have a washing machine that is capable of washing smaller loads of laundry.
0,Further reduce the gap between inner diameter of plastic outer drum and outer diameter of stainless steel drum to reduce the amount of water use.
0,"develop more advanced washing mechanism, could be something like wash cloth one by one as we human do. This may be more efficient"
0,Have different designs to appeal different user groups. Do design research to determine the look of these and which possible designs these different user groups like.
0,Create fun advertisements so people are aware of the washing machines.
1,The washing machine with angled door (i.e.: 45 deg) with respect to the ground so that loading and unloading does not have to be done by squatting or leaning over.
1,Maybe find another common appliance in the house like dish washer to combine their actuation system to make the whole system more energy efficient.
1,Have some password or lock protection to omit kids using the machine.
0,Decrease the rotation speed of the machine so clothing will last longer and need to be replaced less often.
0,Shorten the time for washing and drying.
1,Add a device inside the washing machine that is moved around and helps know of dirt and debris on the clothes
0,Reuse materials from used machines to manufacture new ones.
0,Design drum that uses less soap.
1,"Determine optimal ""cleanness"" of clothes to maximize spinning power ratio."
1,Recognize when a hard object has been put in by accident.
1,Add bumps and ridges to inside of drum so clothes don't become a giant unbalanced wad.
1,"Make more options for the users so that they can fine-control the washing cycles. For example, the amount of water, more options for the temperature of water (not just hot,warm,cold). This will allow users to wash more delicate clothes and leave less damage."
0,The washing machine automatically turns off after 5 minutes of inactivity.
0,Collect water from rinsing at end and reuse it to soak clothes in the next load.
0,Make the washing machine quiet and emphasize how quiet it is in marketing.
0,Make the inner tub out of plastic or something more sustainable than a petroleum product.
0,The material used in the structure of the washing machine can be bio-compatible to have an optimized end-of life.
0,"Having a cool video, to market it, would help with user appeal. Like that Apple 'like video explaining all of the attention to detail that was put into the design, would make people like me want it. And probably a lot of the people that buy Apple stuff. The other videos about saving water in the news real style voice, could appeal more to a less-techy person. So you could have different marketing videos to market to different user groups increasing appeal and sales."
0,Use less overall material in the machine.
0,Make the washing machine a shape that allows the water to flow better.
0,Have a washing machine that automatically applies stain remover to clothes with stains.
1,Separate chamber to deal with different clothes type and different color of clothes because some white clothes would get colored with washed with colored clothing and some needs delicate care whereas some needs strong cleaning.
0,Use minimum material so that washing machine is sleek and doesn't take too much space.
0,"The main structure of a washing machine is made out of metal: keep the main structure of a sturdy material, but for all of the outer non-structural materials, construct them out of recycled plastics."
0,"Design a washing machine that has filters that could sanitize and reuse water in the wash cycle all over again, reducing water usage."
0,Use solar energy to power washing machines.
0,Use a drive train with different gear ratios to allow for smallest motor.
1,Combine washer with other similar appliances at home to optimize the energy efficiency of both.
0,Have a new washer mechanism.
0,Use raw material that could be locally sourced to reduce production cost.
1,A web enabled washer which can learn washing patterns and preferences of the user to better customization.
0,Minimize the weight of machine.
1,Use machine learning to learn user preferences in washing process.
1,Have a washing machine powered by battery and charged by a treadmill.
0,Make the washing machine silent with internal noise damping and cancellation features.
0,"Have different washing modes based on different clothing types (shirt, pants, jeans etc.)."
1,Use a hybrid motor to use water flow as well as electric power.
0,The machine keeps statistics about how much water is used each year.
1,"Attach an efficient water heater (with high heat transfer metal coils in a water tank) to the machine, so that if the user has an old water heater at their place, it doesn't use as much energy to run the washing machine."
0,Use a different mechanism for drying clothes.
0,"The machine is able to have lots of settings without using touch screens, since touch screen takes up more electricity and battery power."
1,Use the same drum for washing and drying adapted with sensors to identify the dirt level.
0,Using larger machines may be more efficient if user puts more clothes into it.
1,A washing machine that includes a small battery that can be charged eventually from human activity. This could help reduce electrical consumption.
0,Replace the hinged front door with a telescopic sliding door. This will allow the machine to be installed in even smaller space and be more user friendly.
1,Incorporate touch screen interface that sends a reminder when the cycle is complete.
0,"Remove superfluous packaging, which only adds aesthetic value."
1,Use geothermal energy to directly preheat water going into the washing machine.
1,Using a high pressure jet of steam and soap particles to clean clothes to Eliminate the need for a motor.
1,Have an option to pair washer to phone location so that washer runs when you leave home to be less noisy or annoying.
1,Provide a demand response feature for the power grid. Demand response corresponds to drawing power from the power grid at specific time of the day to maintain a balance between supply and demand. Utilities compensate the appliances participating in the demand response program.
0,Have the washing machine ads educate the population on more efficient use of the machine. Maybe washing certain types of clothes or ones having certain stains makes for a more efficient use of the machine. Saved time could appeal to the customers
1,Allow a timer on washer to run at night when electricity demands are low.
1,Design dual function drying rack holding rack.
0,Provide more direct information about energy use and water use and cost when selecting washing modes.
1,Have multiple mini drums in one machine to speed up time required for a small household with small load levels.
1,"Machine measures detergent and provides a warning when overused, preventing soap from spilling out and clothes needing to be washed a second time"
1,"Design a human powered washing machine. It could be powered by a treadmill or some sort of exercise equipment, such as stationary bike."
0,Find more efficient spinning speed to decrease the water use and energy use.
0,"Use water from showers and baths for washing clothes, and then pass on water to water plants."
1,Steam from kitchen can be used for driving the machine if possible.
1,Automatically dispense soap for efficient displacement of soap.
1,Have users load from the top and then it transfers it to a sideways drum either through a pathway or just rotates the whole drum before starting.
0,Put two chambers in washing machine for white and colored clothes. Filter water and reuse for both chambers instead of running the machine twice.
1,Washing machine detects dirt and automatically stops or continues cycle depending on how much dirt is detected.
1,Use coupled systems to reduce waste energy between modules.
1,Use computer vision to focus more on the dirty spots could reduce the work needed.
0,Make the production wise and efficient (i.e.. low carbon footprint to build).
0,Create a new type of detergent that requires less water and is more efficient in cleaning.
1,Two door systems. The clothes are put in through the top of machine and rotates to the side when the washing is done. Easier to load the machine and eliminates the danger of kids getting into the machine.
0,incentivize trade-ins of old washers for newer ones
1,"3D print some parts. It might reduce the original cost, but increase the maintenance cost."
0,Use cold water only for the washing machine.
0,Use local parts suppliers to reduce the emissions in parts transportation
0,Move manufacturing to a more sustainable facility.
0,Use automatically attachable or detachable flywheel for spin stage.
0,Using optimal control methods to identify new strategies for the washing cycle.
0,Have a rewards program for users so that they really feel great about being more sustainable.
0,Reuse washer water for watering plants.
0,Use non-toxic and biodegradable material to remove stains.
0,Water consumption can be reduced by finding a way to clean the soapy water and reuse it.
0,Save rinse from previous load to wash next load in.
1,"Use live organisms to clean clothes, like cleaning dirty water."
0,Have very good gaskets so that there are no leaks anywhere.
1,Biological enzymes automatically clean clothes and reduce overall energy consumption. Because of the enzymes the washer doesn't need to rotate reducing manufacturing cost.
0,"Snap on fasteners instead of screws for outer panel where leaking is not an issue will reduce the assembly costs, but may increase manufacturing costs."
1,Design the machine as a multipart system to dismantle and assemble again for the purpose of efficient distribution.
1,Implement a folding manufacturing process to reduce panel assembly time.
1,"Have agitators that can be present during ""washing"" phase at a lower spin-speed, but. can be absent during rinsing."
0,Use a detergent ball that contains detergent and outputs the detergent amount accordingly to the soil level or amount of cloths. Detergent ball will constantly hit cloths while washing so that it will reduce time and energy to wash clothes.
1,Use the rotation of the washing machine for energy harvesting (small scale) to generate power to power up small electronics like cell phones.
1,"For more efficient assembly, a self-assembling origami structure could be used as the outer section and inner retaining brackets. This structure could be stamped out of a single piece of metal, with compliant joints at the hinges/edges of the box."
1,"The data gathered by the washing machine can be gathered and analyzed across neighborhoods and cities to analyze the water usage in the washing machine as a function of the region, time and water availability."
1,Only allows washing of matched socks.
1,Harvest energy and reuse machine on vehicle wheels.
1,"Translate energy lost to pistons to generator power source (lights in the house, etc.)."
0,Minimize the number of components on the surface of the machine.
1,Design a washing machine where you could put a basket of different items to be washed and the machine will separates them into different loads that maximize power consumption and usage.
1,"Top-loading dryers are more convenient but front-load are more efficient. Have a washer that can be loaded from the top, drum ""rotates along major axis 90deg, and then begins wash cycle."
1,"As opposed to dedicated shock absorbers inside the washing machine, the structure itself could be designed to absorb the vibrational load and provide damping. This could involve, for example, compliant mechanisms on certain parts of the structure whose natural frequency was tuned to match the drum vibrational frequency at different drum speeds, and which would then dampen the vibrations. Multiple different sets of mechanisms could be used to dampen different frequencies."
0,Use gray water washing machine that only allows certain types of environmentally friendly detergents.
0,"It could use your home's Wi-Fi instead of it's own cellular connection, so that it saves user money and energy."
1,Thermal energy will be dissipated by spinning the stator motors. That energy can be stored and reused.
0,"Have a cool interactive outside to appeal to kids, so that they can lobby their parents to buy one. Could use some cool mechatronics, interactive artwork on the exterior to make it a piece of art that can appeal to kids."
1,Design energy recover systems at the vibration dampers for alternative use.
1,"Let the washer fill part way with water and mix with the soap before users put clothes in. It might appeal to customers to have the detergent pre-mixed with the water, or to spray in from multiple locations at once instead of all getting sprayed on just one clothing item."
1,"Use Siri like features to be able to talk to the machine and let it ""know"" the kind of clothes its dealing with."
0,Separate the drum into compartments such that the loads can be more evenly distributed along the perimeter. This could help reduce vibration which makes it more appealing to the customers. Reduced vibration can also improve energy efficiency of the motor.
0,Make the exterior of the washing machine more stylized in the form of environmental qualities to make the user more aware (even subconsciously) of the environment during use.
0,Locate manufacturing facilities in various locations to reduce transportation cost.
1,A human powered washing machine may be useful. Leg powered using a bicycle kind of pedaling mechanism can be used to rotate the drum inside which the clothes are washed. This reduces energy consumption in the form of electricity.
0,"Compute a ""green score"" for each wash cycle based on water, energy and detergent used and give users a green score target. Maybe give some incentive if a particular target is hit."
1,Phone charger built into machine for community use
1,Add a module that keeps the detergent for a longer time and sends an alarm when there is no more stocked.
0,Find a better water and detergent distribution in the machine to help with washing efficiency.
0,"Have one item wash mode for very fast, and low energy washing."
1,Have a speed mode: mode that washes your clothes extra fast when you are in a hurry.
1,A machine which can fold the clothes after drying and ensures clothes do not need to be pressed again.
0,Use material recycled from used product to decrease cost of raw material.
1,Make the machine out of strong injection molded plastic to reduce the cost of making them in high volume.
0,Have workers assembled all parts instead of robots and workers.
0,"Market products on water saving feature, appealing to consumers who have knowledge of the need for water conservation. Target locations such as California which are undergoing droughts."
1,The machine uses heat from HVAC systems to heat water/air for washing and drying.
0,Use 3d printers to manufacture washing machine parts.
0,Change design of the spinner so that it spins and dries clothes faster.
0,Connect washing machine to provides information on sustainable practices and what resources to use.
1,Have a talking washing machine.
0,Water is heated by gas vs. electricity (gas is cheaper in some states) so it appeals to customers who live there.
0,Combine spin drying and hot drying.
0,Use vacuum to kill the bacteria.
1,During the rinse cycles recirculate the water from the bottom of the drum to the top and spray it into the drum. This will help rinse out the clothes while reusing water and decreasing the spin cycle time.
1,The laundry basket senses how dirty clothes are and separates them so that some loads only wash relatively clean clothes and don't have to use as much detergent.
0,Incorporate a drying aspect to the machine to hybridize its function.
1,"Couple the washing machine directly to renewable energy sources, and sell the two together as a package. This could include wind, solar, or geothermal."
0,"The machine would be a front loading machine capable of spinning at higher speeds than conventional machines, thereby producing less water content in the fabrics after the wash cycle. Due to low water content in the clothes, the dryer function in the machine would not have to be as powerful or use as much energy as conventional dryers."
0,Definitely make the washing machine a front loading device with a wide door that has a large range of opening.
1,The washing machine's rotational movement could be used to charge a battery and save energy.
0,Use a complete automatic system with no human intervention to save time during manufacturing.
0,Have a washing machine with integrated counter top so it can be used for other things.
0,"Have an intuitive user interface, like simple control panels that could make the product more sustainable."
1,Install a scale and camera on the inside of the washer. The scale will be used to measure the weight of the items inside the washer and will determine the amount of water needed to clean the load. The camera will use image analysis techniques to determine the types of items in the load and automatically set the best water temperature and spin speed.
0,"Before adding water, a shake out mode is use to shake out most dirt."
0,Remove paint from external parts to reduce amount of material cost.
0,Design a light and portable washer that can be taken on the go to wash clothes whenever needed.
0,"Even though the drum may look rustic, its appeal can be improved by using different colors and materials, especially easy weight."
0,Use fewer fasteners to speed up manufacturing time and reduce weight.
1,Create a mix of detergent with the some kind of pellet particle to provide a deep clean with less amount of detergent.
0,Manufacture machines differently to make it last longer.
0,Use easily manufactured body with sophisticated outer shell to give appearance of very high quality.
0,"Machine stores soap water from a wash and reuses it for the next wash, which will reduce water and soap usage."
0,Provide visual feedback to the user regarding the overall energy consumption from the washing machine.
1,Harvest thermal energy in the washer to save energy and use it to heat water for other household appliances.
0,Design a machine that requires less water.
0,Allow people to customize the water level in the washing machine during wash cycles.
1,The machine will automatically determine the cycle time to save energy.
1,Use some decomposable absorbent that can be thrown into laundry load to help absorb dirt and oils but does not consume that much water.
1,Have a laundry basket attached to washer that automatically loads and starts washer when it gets full.
1,Build in sensors to enable washer running when electricity is at its cheapest price to reduce cost.
1,The pistons below the drum are designed to dissipate vibrations that occur due to unevenly distributed weights. These should be replaced by springs which are connected to some type of generator so that some of the dissipated energy is then recaptured.
1,"Use some fuzzy logic controller that adjusts the water temperature, water volume, and detergent volume to get the best wash cycle to save on water and detergent."
1,Have a washing machine that does not need to be connected to the main water line in the house so it can be used at home without a hookup.
1,Use wasted water to cool motor to increase efficiency.
0,"Looking at the washing process and optimizing it to potentially reduce the time spent doing the job, which would reduce energy and water consumption."
0,Route used water to your sprinkler system so it waters your yard.
1,Use chemical based washing instead of water based washing.
1,"Have a way to collect the steam and condense it, filter it for later use. Save on water."
1,"Use two wash drum, concentric from each other, with smaller drum at the center and bigger one on the outside."
1,Have washing machines that can use shower water and human soaps to wash clothes.
0,Make the amount of water that is used by each setting visible.
1,Reduce vibration of the machine and if not possible then use pressure sensitive (piezoelectric) materials to convert the vibration into energy.
0,Use steam for cleaning when clothes are not super dirty. This can reduce water use and decrease use of chemicals.
1,Movies or other media can be projected on to the door so that kids can be entertained when parents are doing laundry.
1,Design a smart washer that knows the type of material and optimizes the washing cycle accordingly to conserve resource.
1,Machine with a chute or feeding tray for loading and a basket for unloading. Drop the clothes in the chute and the clean clothes are put in a basket.
0,Make the washing faster so that users save time and energy by not having it run as long.
1,"Have a hybrid washing machine. Part electricity part solar, or wind or human powered etc."
1,"Can detect a solid mass tumbling around throwing off the stabilizers, such as a phone, and set off a warning or stop the washing process."
0,Spray water equally in mist phase for soaking laundry faster and using less water.
0,"The machine is resistant to different types of detergent, especially those more corrosive."
1,Automatically detect when clothes are clean enough and stop cycle.
0,Introduce environmentally friendly detergent so that the waste water can be further recycled.
0,Use easily manufactured parts and pieces that are easy to put together on the assembly line.
0,"Use additive manufacturing to make more parts at once using robots, and require less labor from human factory workers."
1,Have fabric cover instead of painted and stamped steel cover for washing machine side panels.
0,Use new material to make products that generate less force or are less energy-consuming.
1,Machine has a voice interaction system and can be controlled by users' voice commands.
1,"Instead of using polymer beads or a cleanser similar to dry shampoo, the washer could require an advanced detergent that latches onto the dirt and stains and removes itself from the clothing. This detergent would not need to be rinsed out because the dirt is in the water and not on the clothes. This method would eliminate the need for a rinse cycle and reduce water usage."
0,"Having different parts of the washing machine structure vibrate when the drum is running at different speeds could be an aesthetically appealing function. for example, if the top right of the washing machine vibrated during permanent press spin cycles (slower) but the top left of the machine vibrated during cottons spin cycles (faster), then a user could visually determine what settings the machine is using. This functionality would be a fun visual way to tell from a distance what was selected."
0,Each leg has a hydraulic or some type of shock absorber that drastically lessens the noise and shaking.
0,LEDs that consume less power could be used to make the washing machine aesthetically pleasing.
1,Automatically loads clothes into the dryer after wash.
0,"Design the machine to have fewer parts, which means easier assembly line and lower manufacturing cost."
1,Change the construction materials and 3D print it.
0,Have an app that shows exactly how much water is being used. Plays customized alarm when done
1,Funnel that automatically sorts clothes and clothes types and sets the appropriate setting.
1,"For communities near salt water sources, wash water using salt water. decreases environmental impact and costs less for consumers. Salt may also have additional cleaning benefit"
0,"Portable electric washing machine that is made of lightweight materials, and smaller than conventional machines and requires smaller loads."
1,"Create an eco friendly spray that could be sprayed on clothes to cleanse them of any bacteria or smell. While this is not a washing machine, it will increase the number of times a user can wear a garment in between washes, thus saving on water and electricity."
1,Have color safe panels built into the machine to catch potential color bleeding.
0,Use more sensors.
0,Use alternative affordable materials (such as aluminum) instead of steel if the loading permits such use.
