novelty,description
1,"the machine definitely has to be smart, meaning it should learn from the user's habits and adjust. also, it should be actively adjusting its washing cycle in order to attain maximum performance overall. for example, it could constantly monitor water content (being rougher or softer) and adjust it's washing cycle accordingly."
1,we can generate electricity from the refrigerator conceptually as a thermodynamically cycle. so we can use it as a power source in washing machine.
1,wash the cloths somehow that they are not needed to be ironed.
0,design for fully robotic manufacture and disassembly for improved lifecycle.
1,use water pressure from the tap to assist tumbling motor.
0,have a spot cleaning station so that you can use less water in the minimum load.
0,use bio-materials with less weight to reduce the weight.
0,limit the amount of different types of material used.
1,have a washing machine with a sorting feature to recognize and separate clothing with different wash cycle settings.
0,baked on paint sounds like it would take extra energy usage to do the baking. replacing it with simply spray-on paint would save on manufacturing costs.
1,have the machine run off of reusable energy.
1,"provide a label indicating a full load, encouraging users to avoid washing small loads and wasting water."
1,amount of required detergent is indicated by a line based on the load amount.
0,"change classic ""spin cycle"" style to see if there is a better agitation method."
0,have neighbors share washers and use internet alert system or schedule so people known when it is free to use.
1,machine measures weight of clothes loaded and adjusts the amount of water and detergent use accordingly.
1,have a ventilation system to prevent mold from forming inside washer when door is closed between loads.
1,use smart temperature setting based on the level of dirt and loading.
0,make parts easily replaceable so that repair is low-cost and only some parts need to be renewed every few years as opposed to the whole machine.
0,use organic biodegradable paints could be used to reduce the environmental impact.
0,use better wash preset for more efficient wash.
0,make the washing machine smart.
0,re-purpose old washers.
0,sense water cleanliness to determine if it can be reused.
1,make a mini washing machine that attaches to your bike with a cylindrical frame that rolls like a wheel as you ride and tumbles the clothing.
0,have a shake phase to remove most dirt.
0,have real time water consumption feedback to the user as a subjective norm in order to motivate them to conserve water.
0,route water through filter and reuse it.
1,"the washing machine could be repackaged, optimized such that the center of mass is closer to the middle than on the side. actually if the motor is placed horizontally below the drum with the force transmitted via gears, we wouldn't need a concrete block or maybe even the shock absorbers (friction with the floor wouldn't let the machine to rotate). machine with fewer components is definitely more sustainable, especially without the concrete block."
1,"incorporate remote functionality, i.e. from a phone."
0,a hybrid system which adopts water and bead technologies to clean clothing.
0,design with the current manufacturing capabilities of the factory in mind.
0,paint machines with different organic colors so the machines appeal to users.
1,"improve the efficiency of washing by creating new washing methods, such as using dry cleaning or using steamed water instead of liquid water."
0,do research to find a perfect ration to mix detergent and water in order to increase the efficiency of detergent.
0,"shorten the wash time or provide more options for wash settings, so users can have a very short wash per se if they only have a few items compared with the traditional ""small load"" which often still uses a fair amount of water."
0,use sensors to stop the wash when the clothes are clean so that they do not wear out.
0,"have a washing machine that incorporates a new kind of motion to remove dirt from clothes, like impulse jets of water rather than large quantities of water being poured into the spinning drum."
0,have cars that can use the mechanical movement to wash clothes
0,use smart tap.
0,have unique user interface to make interaction with the washing machine simpler. perhaps incorporate a children's single button setting so parents could help children begin to do laundry as a chore at a young age.
1,"systems that wash clothes in fundamentally new ways, such as using uv light to kill bacteria, or different additives that reduce the need for water use."
0,remove physical buttons and replace them with a touchscreen that only powers on when needed.
0,make the washing delicate so the clothes will last longer.
0,"reduce number of required inputs for user, and remove options to use hot water."
1,"run the machine based on two power sources, an ac household supply and a battery based supply that is connected to an existing home exercise machine."
1,do experiments with other types of fluids for washing clothes. perhaps there is a fluid out there that can be reused many times unlike water where we get rid of it afterwards.
1,design a portable machine with modular components which can be assembled easily.
1,have drum that can slide out with clothes as if it was the hamper and directly dump into dryer.
0,provide readable statistics on how much water and energy is used vs others.
0,manufacture washing machines with recycled parts.
1,"use algorithm for calculating when is the best time to wash, how much load to put in, to maximize the usage of water and energy."
0,pre-mix soap and water to ensure dry detergent is not left on clothes if using power detergent and concentrated detergent is not in contact with clothes if using liquid detergent.
0,use better bearings.
1,"attract users by increasing automation in the washing machines. for example, combining washer and dryer into a single machine."
0,combine washer and dryer to save space.
0,add attachments such as protein shaker that can make use of the movement of the machine.
0,use some centrifuge to filter some of the dirty water and cycle that back into the wash to reduce water use.
0,"utilize water from other home appliances, or use waste water from washing for other uses. this could include using water from the washer to then wash dishes, or implementing a greywater system to water the lawn (after removal of excess soap/detergent)."
0,when designing the polymer beads that may ultimately replace water within the washing machine it will be extremely important to insure that the lifecycle analysis of these beads does in fact result in a net reduction in water use if not then the current methods are still more desirable.
0,have larger door for better access to clothing.
1,give text alert for completion of laundry load.
0,more drying functions to reduce the damage of the clothes.
0,the machine is front loaded to save water and be better for clothes.
0,"front load is more efficient but harder on back, so look at new loading techniques that are more ergonomic."
0,"add upgrades to old machines to make them more energy/water efficient, rather than starting from scratch."
1,have a sensor inside of the washing machine that adjusts the power needed to spin the drum be dependent on the weight of the clothes that have been loaded into the machine.
1,try different designs and shapes for designing the washing tub such that it is more efficient and user friendly.
0,reuse water for a few loads of laundry before sending it into the sewer.
0,use polymer beads as an alternative of detergent.
0,provide attachments for a hand wash mode when only a few items need to be washed.
1,"if a rotating drum is used, such that it can be powered by legs, then bicycle parts can be used. this makes manufacturing easier and as it provides some exercise, it can be appealing to the users."
1,"have a machine that is powered by biofuels, such as garden trimmings and stuff that the user likely already has access to."
0,the machine recommends different setting for how to wash loads.
0,have a spherical washing machine that can be used in outdoor activities
0,design curvature and colors that produce happiness. make the machine look sleek and modern.
0,use squeeze mechanism for removing water.
1,use sensor to keep track of water and power consumption.
1,"add inserts into the washer to aid in passive agitation, as opposed to shaking the entire load like current front-loaders do. this would require fluid dynamic analysis."
0,see if there is a better method of driving the drum compared to the stator-rotor motor design.
0,maintenance team that regularly checks on machine to make machines last longer.
0,"waste water from the other resources can be entered into the machine, purified and reused."
0,develop new materials used for washing clothes which are more environment friendly.
1,use rubber gasket sealed inlet channel so that dirty laundry can travel straight from the laundry chute into the washing machine.
1,like a sea anemone of squishy little arms sticking out from the walls to help clean the clothes.
0,make washing machines out of recycled metal.
0,use minimalist design.
0,perform a study on optimal washing techniques to observe if the current model is the most efficient method. this provides the potential for a complete redesign of the washing cycle.
0,"non-electric machine that uses hand crank to induce spin cycle. water usage is restricted by size of machine. maybe users can have two separate water tanks that stores soapy water, rinse water, and clean water. these water tanks can be used for up to three or four loads so that it reduces water usage."
1,automatically load washing machine.
1,add energy harvesting tech to regain lost energy in the washing machine.
0,futuristic curb appeal can be easily created with led lighting instead of painting materials - saves material and very low energy impact
0,reduce water usage by using the waste water from washing machine for garden cleaning.
0,"have internal lights that change color during the wash cycle, located inside drum (ideally for front loading washer) so that the light projects out."
0,use better actuating mechanism.
1,have an insert that shrinks the size of the effective drum for a small load.
0,have an adaptor for solar panel that can be placed outside.
0,have a washing machine that restricts water flow to be minimal (only what is necessary to complete wash cycle). use less detergent so that fabrics require less water usage for rinsing.
0,use cold and warm cycles only to reduce energy usage
0,build non-load carrying parts from recycled materials to reduce cost of the machine for customers.
0,additional hybrid modes between the ones they already have could be marketable to people who don't have the time to sort their laundry.
1,"in the age of autonomous vehicle, the car cabin has been shown to be used for other purposes. the washing machine could be connected to the autonomous vehicle by coupling the rotation to the vehicle motor and the dryer to air intake while the car is travelling. this way drying consumes far less power."
0,design a resevouir that holds all of the detergent in a normal size jug so users don't have to store it.
0,have variable sizes of washer for different loads of laundry.
1,use the water from tap as a water jet to drive a turbine which drives the drum and spins it.
0,treat the water with some chemicals before sending into the drum to improve the efficiency of washing process.
0,change the angle of washing machine to let it use less water while washing.
0,use alternative methods to heat the water.
0,have a pretreat/soak option for tough stains and then automatically start the cycle once some time has elapsed.
0,develop more specific washing method for washing different material and stain.
1,machine that does not use liquid detergent. instead it uses a cleaning process similar to dry cleaning. water is not necessary and it keeps clothes fresh for up to two or three wears.
0,increase motor speed to reduce water needed to clean clothes??
1,have waterless washing machine that uses recoverable chemicals.
0,different sizes of the machines to appeal to different users.
0,make the machine have less vibration so it is quieter.
0,remove the exterior paint.
1,the machine orders the detergent automatically once there is nothing in stock.
0,use shock absorption technology for minimization of noise and vibration to allow faster spin cycles.
0,"have smaller washing machine. this will reduce water requirements and energy consumption. it may also make users think about how much they are washing, because they have less space."
1,"design a mechanism to suck out the dirt, similar to magnetic or hydrophobic separation."
1,electricity can be generated when the cylinder is spinning.
0,use the soap that doesn't make the water unusable.
1,use the waste fibers from the clothes by filtering them from the water and utilizing it to make rugs and carpets .
1,exercise machine can be integrated to help dry clothes.
0,have a way of verifying that bleach is not going to stain the next load.
1,determine the amount of water required based on the load weight and volume and save water.
0,create chassis and weld together prior to painting to increase structural integrity.
1,make drum size adjustable to accommodate the load size variability.
0,forget about the washing machine. have people reuse clothes until they fall off to conserve energy.
1,the washer connected to internet is able to provide live washing updates to smartphones. e.g.. notify users when the wash cycle ends.
0,use natural based paint for body panels or use unpainted finish that uses less material and is cleaner.
1,"utilize ""regenerative braking"" to capture energy lost when drum slows down between stages of wash."
1,"give the user information about the characteristics of their load (mass, dirtiness, etc.) and then also tell them how much water/detergent/energy they will be using, and the eqco2. this empowers the user to make lifestyle changes to decrease their total impact."
0,"have side structural panels manufctured with recycled plastic, keepeing different colors and patterns which make the product attractive to young people."
0,design motor to run off solar power.
1,a washing machine allowing to select dry-washing for not too much dirty clothes or wet-washing for heavily dirty clothes.
1,have an outdoor washing machine that runs while it is raining and uses the rainwater to spin the clothes using the basic waterwheel concept.
0,soak and press clothing to reduce the amount of mechanical motion.
1,provide a digital read out of water used by machine per use/week/month/to make users more conscious of water consumption.
0,"have cycles with optimal temperatures for mixed loads, to prevent washing many separate loads."
0,have the hinge of the door be at the bottom of the door so the door opens to the top for easy loading.
0,the current counterweight used in the front end of the drum is steel. this material should be replaced with a heavy recycled material that can no longer be used as it intended to thus reducing the associated footprint of the washer.
1,delay the start time for the wash.
0,the machine can rotate at where the door hinge is around where the drum opens to better fit the desired space.
0,use a different floor/wall mounting technique so that the machine can be lighter without increasing operating noise.
1,"the shell is made out of glass so that users can look into the washer to see it operating from any direction, to improve aesthetics."
0,produce with aluminum or other light and easy to recycle material.
0,eliminate extra outer casing of machine.
0,have a washing machine that is capable of washing smaller loads of laundry.
0,further reduce the gap between inner diameter of plastic outer drum and outer diameter of stainless steel drum to reduce the amount of water use.
0,"develop more advanced washing mechanism, could be something like wash cloth one by one as we human do. this may be more efficient"
0,have different designs to appeal different user groups. do design research to determine the look of these and which possible designs these different user groups like.
0,create fun advertisements so people are aware of the washing machines.
1,the washing machine with angled door (i.e.: 45 deg) with respect to the ground so that loading and unloading does not have to be done by squatting or leaning over.
1,maybe find another common appliance in the house like dish washer to combine their actuation system to make the whole system more energy efficient.
1,have some password or lock protection to omit kids using the machine.
0,decrease the rotation speed of the machine so clothing will last longer and need to be replaced less often.
0,shorten the time for washing and drying.
1,add a device inside the washing machine that is moved around and helps know of dirt and debris on the clothes
0,reuse materials from used machines to manufacture new ones.
0,design drum that uses less soap.
1,"determine optimal ""cleanness"" of clothes to maximize spinning power ratio."
1,recognize when a hard object has been put in by accident.
1,add bumps and ridges to inside of drum so clothes don't become a giant unbalanced wad.
1,"make more options for the users so that they can fine-control the washing cycles. for example, the amount of water, more options for the temperature of water (not just hot,warm,cold). this will allow users to wash more delicate clothes and leave less damage."
0,the washing machine automatically turns off after 5 minutes of inactivity.
0,collect water from rinsing at end and reuse it to soak clothes in the next load.
0,make the washing machine quiet and emphasize how quiet it is in marketing.
0,make the inner tub out of plastic or something more sustainable than a petroleum product.
0,the material used in the structure of the washing machine can be bio-compatible to have an optimized end-of life.
0,"having a cool video, to market it, would help with user appeal. like that apple 'like video explaining all of the attention to detail that was put into the design, would make people like me want it. and probably a lot of the people that buy apple stuff. the other videos about saving water in the news real style voice, could appeal more to a less-techy person. so you could have different marketing videos to market to different user groups increasing appeal and sales."
0,use less overall material in the machine.
0,make the washing machine a shape that allows the water to flow better.
0,have a washing machine that automatically applies stain remover to clothes with stains.
1,separate chamber to deal with different clothes type and different color of clothes because some white clothes would get colored with washed with colored clothing and some needs delicate care whereas some needs strong cleaning.
0,use minimum material so that washing machine is sleek and doesn't take too much space.
0,"the main structure of a washing machine is made out of metal: keep the main structure of a sturdy material, but for all of the outer non-structural materials, construct them out of recycled plastics."
0,"design a washing machine that has filters that could sanitize and reuse water in the wash cycle all over again, reducing water usage."
0,use solar energy to power washing machines.
0,use a drive train with different gear ratios to allow for smallest motor.
1,combine washer with other similar appliances at home to optimize the energy efficiency of both.
0,have a new washer mechanism.
0,use raw material that could be locally sourced to reduce production cost.
1,a web enabled washer which can learn washing patterns and preferences of the user to better customization.
0,minimize the weight of machine.
1,use machine learning to learn user preferences in washing process.
1,have a washing machine powered by battery and charged by a treadmill.
0,make the washing machine silent with internal noise damping and cancellation features.
0,"have different washing modes based on different clothing types (shirt, pants, jeans etc.)."
1,use a hybrid motor to use water flow as well as electric power.
0,the machine keeps statistics about how much water is used each year.
1,"attach an efficient water heater (with high heat transfer metal coils in a water tank) to the machine, so that if the user has an old water heater at their place, it doesn't use as much energy to run the washing machine."
0,use a different mechanism for drying clothes.
0,"the machine is able to have lots of settings without using touch screens, since touch screen takes up more electricity and battery power."
1,use the same drum for washing and drying adapted with sensors to identify the dirt level.
0,using larger machines may be more efficient if user puts more clothes into it.
1,a washing machine that includes a small battery that can be charged eventually from human activity. this could help reduce electrical consumption.
0,replace the hinged front door with a telescopic sliding door. this will allow the machine to be installed in even smaller space and be more user friendly.
1,incorporate touch screen interface that sends a reminder when the cycle is complete.
0,"remove superfluous packaging, which only adds aesthetic value."
1,use geothermal energy to directly preheat water going into the washing machine.
1,using a high pressure jet of steam and soap particles to clean clothes to eliminate the need for a motor.
1,have an option to pair washer to phone location so that washer runs when you leave home to be less noisy or annoying.
1,provide a demand response feature for the power grid. demand response corresponds to drawing power from the power grid at specific time of the day to maintain a balance between supply and demand. utilities compensate the appliances participating in the demand response program.
0,have the washing machine ads educate the population on more efficient use of the machine. maybe washing certain types of clothes or ones having certain stains makes for a more efficient use of the machine. saved time could appeal to the customers
1,allow a timer on washer to run at night when electricity demands are low.
1,design dual function drying rack holding rack.
0,provide more direct information about energy use and water use and cost when selecting washing modes.
1,have multiple mini drums in one machine to speed up time required for a small household with small load levels.
1,"machine measures detergent and provides a warning when overused, preventing soap from spilling out and clothes needing to be washed a second time"
1,"design a human powered washing machine. it could be powered by a treadmill or some sort of exercise equipment, such as stationary bike."
0,find more efficient spinning speed to decrease the water use and energy use.
0,"use water from showers and baths for washing clothes, and then pass on water to water plants."
1,steam from kitchen can be used for driving the machine if possible.
1,automatically dispense soap for efficient displacement of soap.
1,have users load from the top and then it transfers it to a sideways drum either through a pathway or just rotates the whole drum before starting.
0,put two chambers in washing machine for white and colored clothes. filter water and reuse for both chambers instead of running the machine twice.
1,washing machine detects dirt and automatically stops or continues cycle depending on how much dirt is detected.
1,use coupled systems to reduce waste energy between modules.
1,use computer vision to focus more on the dirty spots could reduce the work needed.
0,make the production wise and efficient (i.e.. low carbon footprint to build).
0,create a new type of detergent that requires less water and is more efficient in cleaning.
1,two door systems. the clothes are put in through the top of machine and rotates to the side when the washing is done. easier to load the machine and eliminates the danger of kids getting into the machine.
0,incentivize trade-ins of old washers for newer ones
1,"3d print some parts. it might reduce the original cost, but increase the maintenance cost."
0,use cold water only for the washing machine.
0,use local parts suppliers to reduce the emissions in parts transportation
0,move manufacturing to a more sustainable facility.
0,use automatically attachable or detachable flywheel for spin stage.
0,using optimal control methods to identify new strategies for the washing cycle.
0,have a rewards program for users so that they really feel great about being more sustainable.
0,reuse washer water for watering plants.
0,use non-toxic and biodegradable material to remove stains.
0,water consumption can be reduced by finding a way to clean the soapy water and reuse it.
0,save rinse from previous load to wash next load in.
1,"use live organisms to clean clothes, like cleaning dirty water."
0,have very good gaskets so that there are no leaks anywhere.
1,biological enzymes automatically clean clothes and reduce overall energy consumption. because of the enzymes the washer doesn't need to rotate reducing manufacturing cost.
0,"snap on fasteners instead of screws for outer panel where leaking is not an issue will reduce the assembly costs, but may increase manufacturing costs."
1,design the machine as a multipart system to dismantle and assemble again for the purpose of efficient distribution.
1,implement a folding manufacturing process to reduce panel assembly time.
1,"have agitators that can be present during ""washing"" phase at a lower spin-speed, but. can be absent during rinsing."
0,use a detergent ball that contains detergent and outputs the detergent amount accordingly to the soil level or amount of cloths. detergent ball will constantly hit cloths while washing so that it will reduce time and energy to wash clothes.
1,use the rotation of the washing machine for energy harvesting (small scale) to generate power to power up small electronics like cell phones.
1,"for more efficient assembly, a self-assembling origami structure could be used as the outer section and inner retaining brackets. this structure could be stamped out of a single piece of metal, with compliant joints at the hinges/edges of the box."
1,"the data gathered by the washing machine can be gathered and analyzed across neighborhoods and cities to analyze the water usage in the washing machine as a function of the region, time and water availability."
1,only allows washing of matched socks.
1,harvest energy and reuse machine on vehicle wheels.
1,"translate energy lost to pistons to generator power source (lights in the house, etc.)."
0,minimize the number of components on the surface of the machine.
1,design a washing machine where you could put a basket of different items to be washed and the machine will separates them into different loads that maximize power consumption and usage.
1,"top-loading dryers are more convenient but front-load are more efficient. have a washer that can be loaded from the top, drum ""rotates along major axis 90deg, and then begins wash cycle."
1,"as opposed to dedicated shock absorbers inside the washing machine, the structure itself could be designed to absorb the vibrational load and provide damping. this could involve, for example, compliant mechanisms on certain parts of the structure whose natural frequency was tuned to match the drum vibrational frequency at different drum speeds, and which would then dampen the vibrations. multiple different sets of mechanisms could be used to dampen different frequencies."
0,use gray water washing machine that only allows certain types of environmentally friendly detergents.
0,"it could use your home's wi-fi instead of it's own cellular connection, so that it saves user money and energy."
1,thermal energy will be dissipated by spinning the stator motors. that energy can be stored and reused.
0,"have a cool interactive outside to appeal to kids, so that they can lobby their parents to buy one. could use some cool mechatronics, interactive artwork on the exterior to make it a piece of art that can appeal to kids."
1,design energy recover systems at the vibration dampers for alternative use.
1,"let the washer fill part way with water and mix with the soap before users put clothes in. it might appeal to customers to have the detergent pre-mixed with the water, or to spray in from multiple locations at once instead of all getting sprayed on just one clothing item."
1,"use siri like features to be able to talk to the machine and let it ""know"" the kind of clothes its dealing with."
0,separate the drum into compartments such that the loads can be more evenly distributed along the perimeter. this could help reduce vibration which makes it more appealing to the customers. reduced vibration can also improve energy efficiency of the motor.
0,make the exterior of the washing machine more stylized in the form of environmental qualities to make the user more aware (even subconsciously) of the environment during use.
0,locate manufacturing facilities in various locations to reduce transportation cost.
1,a human powered washing machine may be useful. leg powered using a bicycle kind of pedaling mechanism can be used to rotate the drum inside which the clothes are washed. this reduces energy consumption in the form of electricity.
0,"compute a ""green score"" for each wash cycle based on water, energy and detergent used and give users a green score target. maybe give some incentive if a particular target is hit."
1,phone charger built into machine for community use
1,add a module that keeps the detergent for a longer time and sends an alarm when there is no more stocked.
0,find a better water and detergent distribution in the machine to help with washing efficiency.
0,"have one item wash mode for very fast, and low energy washing."
1,have a speed mode: mode that washes your clothes extra fast when you are in a hurry.
1,a machine which can fold the clothes after drying and ensures clothes do not need to be pressed again.
0,use material recycled from used product to decrease cost of raw material.
1,make the machine out of strong injection molded plastic to reduce the cost of making them in high volume.
0,have workers assembled all parts instead of robots and workers.
0,"market products on water saving feature, appealing to consumers who have knowledge of the need for water conservation. target locations such as california which are undergoing droughts."
1,the machine uses heat from hvac systems to heat water/air for washing and drying.
0,use 3d printers to manufacture washing machine parts.
0,change design of the spinner so that it spins and dries clothes faster.
0,connect washing machine to provides information on sustainable practices and what resources to use.
1,have a talking washing machine.
0,water is heated by gas vs. electricity (gas is cheaper in some states) so it appeals to customers who live there.
0,combine spin drying and hot drying.
0,use vacuum to kill the bacteria.
1,during the rinse cycles recirculate the water from the bottom of the drum to the top and spray it into the drum. this will help rinse out the clothes while reusing water and decreasing the spin cycle time.
1,the laundry basket senses how dirty clothes are and separates them so that some loads only wash relatively clean clothes and don't have to use as much detergent.
0,incorporate a drying aspect to the machine to hybridize its function.
1,"couple the washing machine directly to renewable energy sources, and sell the two together as a package. this could include wind, solar, or geothermal."
0,"the machine would be a front loading machine capable of spinning at higher speeds than conventional machines, thereby producing less water content in the fabrics after the wash cycle. due to low water content in the clothes, the dryer function in the machine would not have to be as powerful or use as much energy as conventional dryers."
0,definitely make the washing machine a front loading device with a wide door that has a large range of opening.
1,the washing machine's rotational movement could be used to charge a battery and save energy.
0,use a complete automatic system with no human intervention to save time during manufacturing.
0,have a washing machine with integrated counter top so it can be used for other things.
0,"have an intuitive user interface, like simple control panels that could make the product more sustainable."
1,install a scale and camera on the inside of the washer. the scale will be used to measure the weight of the items inside the washer and will determine the amount of water needed to clean the load. the camera will use image analysis techniques to determine the types of items in the load and automatically set the best water temperature and spin speed.
0,"before adding water, a shake out mode is use to shake out most dirt."
0,remove paint from external parts to reduce amount of material cost.
0,design a light and portable washer that can be taken on the go to wash clothes whenever needed.
0,"even though the drum may look rustic, its appeal can be improved by using different colors and materials, especially easy weight."
0,use fewer fasteners to speed up manufacturing time and reduce weight.
1,create a mix of detergent with the some kind of pellet particle to provide a deep clean with less amount of detergent.
0,manufacture machines differently to make it last longer.
0,use easily manufactured body with sophisticated outer shell to give appearance of very high quality.
0,"machine stores soap water from a wash and reuses it for the next wash, which will reduce water and soap usage."
0,provide visual feedback to the user regarding the overall energy consumption from the washing machine.
1,harvest thermal energy in the washer to save energy and use it to heat water for other household appliances.
0,design a machine that requires less water.
0,allow people to customize the water level in the washing machine during wash cycles.
1,the machine will automatically determine the cycle time to save energy.
1,use some decomposable absorbent that can be thrown into laundry load to help absorb dirt and oils but does not consume that much water.
1,have a laundry basket attached to washer that automatically loads and starts washer when it gets full.
1,build in sensors to enable washer running when electricity is at its cheapest price to reduce cost.
1,the pistons below the drum are designed to dissipate vibrations that occur due to unevenly distributed weights. these should be replaced by springs which are connected to some type of generator so that some of the dissipated energy is then recaptured.
1,"use some fuzzy logic controller that adjusts the water temperature, water volume, and detergent volume to get the best wash cycle to save on water and detergent."
1,have a washing machine that does not need to be connected to the main water line in the house so it can be used at home without a hookup.
1,use wasted water to cool motor to increase efficiency.
0,"looking at the washing process and optimizing it to potentially reduce the time spent doing the job, which would reduce energy and water consumption."
0,route used water to your sprinkler system so it waters your yard.
1,use chemical based washing instead of water based washing.
1,"have a way to collect the steam and condense it, filter it for later use. save on water."
1,"use two wash drum, concentric from each other, with smaller drum at the center and bigger one on the outside."
1,have washing machines that can use shower water and human soaps to wash clothes.
0,make the amount of water that is used by each setting visible.
1,reduce vibration of the machine and if not possible then use pressure sensitive (piezoelectric) materials to convert the vibration into energy.
0,use steam for cleaning when clothes are not super dirty. this can reduce water use and decrease use of chemicals.
1,movies or other media can be projected on to the door so that kids can be entertained when parents are doing laundry.
1,design a smart washer that knows the type of material and optimizes the washing cycle accordingly to conserve resource.
1,machine with a chute or feeding tray for loading and a basket for unloading. drop the clothes in the chute and the clean clothes are put in a basket.
0,make the washing faster so that users save time and energy by not having it run as long.
1,"have a hybrid washing machine. part electricity part solar, or wind or human powered etc."
1,"can detect a solid mass tumbling around throwing off the stabilizers, such as a phone, and set off a warning or stop the washing process."
0,spray water equally in mist phase for soaking laundry faster and using less water.
0,"the machine is resistant to different types of detergent, especially those more corrosive."
1,automatically detect when clothes are clean enough and stop cycle.
0,introduce environmentally friendly detergent so that the waste water can be further recycled.
0,use easily manufactured parts and pieces that are easy to put together on the assembly line.
0,"use additive manufacturing to make more parts at once using robots, and require less labor from human factory workers."
1,have fabric cover instead of painted and stamped steel cover for washing machine side panels.
0,use new material to make products that generate less force or are less energy-consuming.
1,machine has a voice interaction system and can be controlled by users' voice commands.
1,"instead of using polymer beads or a cleanser similar to dry shampoo, the washer could require an advanced detergent that latches onto the dirt and stains and removes itself from the clothing. this detergent would not need to be rinsed out because the dirt is in the water and not on the clothes. this method would eliminate the need for a rinse cycle and reduce water usage."
0,"having different parts of the washing machine structure vibrate when the drum is running at different speeds could be an aesthetically appealing function. for example, if the top right of the washing machine vibrated during permanent press spin cycles (slower) but the top left of the machine vibrated during cottons spin cycles (faster), then a user could visually determine what settings the machine is using. this functionality would be a fun visual way to tell from a distance what was selected."
0,each leg has a hydraulic or some type of shock absorber that drastically lessens the noise and shaking.
0,leds that consume less power could be used to make the washing machine aesthetically pleasing.
1,automatically loads clothes into the dryer after wash.
0,"design the machine to have fewer parts, which means easier assembly line and lower manufacturing cost."
1,change the construction materials and 3d print it.
0,have an app that shows exactly how much water is being used. plays customized alarm when done
1,funnel that automatically sorts clothes and clothes types and sets the appropriate setting.
1,"for communities near salt water sources, wash water using salt water. decreases environmental impact and costs less for consumers. salt may also have additional cleaning benefit"
0,"portable electric washing machine that is made of lightweight materials, and smaller than conventional machines and requires smaller loads."
1,"create an eco friendly spray that could be sprayed on clothes to cleanse them of any bacteria or smell. while this is not a washing machine, it will increase the number of times a user can wear a garment in between washes, thus saving on water and electricity."
1,have color safe panels built into the machine to catch potential color bleeding.
0,use more sensors.
0,use alternative affordable materials (such as aluminum) instead of steel if the loading permits such use.
0,"introduce a soak cycle, which allows clothes to soak in detergent for ~10 min before wash cycle begins, thereby reducing electricity consumption associated with actively ""tossing"" clothes."
1,"the machine learns your habits, and cycles. it can use the most economic cycle depending on load size."
0,paint the machine fun colors.
0,test out different methods of actuation for the washing machine. perhaps linear motion or some other combination of motions.
1,"the interactive ui can be used to provide advices to the user on how to treat and wash different clothes, e.g. what kind of detergents to use, and whether they can iron them or not."
1,go from traditional washing machine designs (spinning tumbler) to maybe a different shape such as a rotating sphere where clothes would be placed inside.
0,have larger load capacity so people can wash more at once.
1,have a smart washer/dryer combo that users can control with an app so that all settings can be done remotely.
1,design a power machine with artificial intelligence that will wash clothes linens at times when power consumption is cheaper.
0,reduce amount of material used to lower cost and reduce energy needed to run.
